Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Dennison, Jeffrey B; Sazhin, Daniel; Smith, David V; "	Decision neuroscience and neuroeconomics: Recent progress and ongoing challenges	Wiley Interdisciplinary Reviews: Cognitive Science	13	3	e1589	2022	Wiley Online Library
"Wyngaarden, James B; Johnston, Camille R; Sazhin, Daniel; Dennison, Jeff B; Zaff, Ori; Fareri, Dominic; McCloskey, Michael; Alloy, Lauren B; Smith, David V; Jarcho, Johanna M; "	Corticostriatal responses to social reward are linked to trait reward sensitivity and subclinical substance use in young adults	Social Cognitive and Affective Neuroscience	19	1	nsae033	2024	Oxford University Press UK
"Botvinik-Nezer, Rotem; Holzmeister, Felix; Camerer, Colin F; Dreber, Anna; Huber, Juergen; Johannesson, Magnus; Kirchler, Michael; Iwanir, Roni; Mumford, Jeanette A; Adcock, R Alison; "	Variability in the analysis of a single neuroimaging dataset by many teams	Nature	582	7810	84-88	2020	Nature Publishing Group UK London
"Dennison, Jeff B; Tepfer, Lindsey J; Smith, David V; "	Tensorial independent component analysis reveals social and reward networks associated with major depressive disorder	Human Brain Mapping	44	7	2905-2920	2023	"John Wiley & Sons, Inc. Hoboken, USA"
"Sazhin, Daniel; Frazier, Angelique M; Haynes, Caleb R; Johnston, Camille R; Chat, Iris Ka-Yi; Dennison, Jeffrey B; Bart, Corinne P; McCloskey, Michael E; Chein, Jason M; Fareri, Dominic S; "	The role of social reward and corticostriatal connectivity in substance use	Journal of psychiatry and brain science	5		e200024	2020	
"Chat, Iris Ka-Yi; Bart, Corinne; Dennison, Jeffrey; Smith, David; Miller, Gregory; Nusslock, Robin; Alloy, Lauren; "	Inflammatory Signaling and Corticostriatal Functional Connectivity to Anticipated Valence and Salience of Reward and Threat Stimuli: An Investigation in Depressed vs. Non-Depressed Young Adults	Biological Psychiatry	89	9	S298-S299	2021	Elsevier
"Botvinik-Nezer, Rotem; Holzmeister, F; Camerer, CF; Dreber, A; Huber, J; Johannesson, M; Kirchler, M; Iwanir, R; Mumford, JA; Adcock, A; "	Variability in the analysis of a single neuroimaging dataset by many teams (Preprint)					2020	
"Wyngaarden III, James B; Sharp, Cooper Joseph; Dennison, Jeff; Sazhin, Daniel; Zaff, Ori; Olson, Ingrid; Fareri, Dominic S; Jarcho, Johanna; Smith, David Victor; "	Characterizing the Effects of Nyquist Ghosting in Task-Dependent Cerebellar Connectivity					2022	OSF
"Smith, David V; Ludwig, Rita M; Dennison, Jeffrey B; Reeck, Crystal; Fareri, Dominic S; "	Social Reward Processing and Decision Making in Younger and Older Adults					2023	
"Zaff, Ori; Wyngaarden, James B; Dennison, Jeffrey B; Sazhin, Daniel; Chein, Jason; McCloskey, Michael; Alloy, Lauren B; Jarcho, Johanna M; Smith, David V; Fareri, Dominic S; "	Social context and reward sensitivity enhance corticostriatal function during experiences of shared rewards	bioRxiv				2023	
